 R(m), ne(m^-3), ni(m^_3), B_T (T) , B_P (T),  B(T), Sfac, T(keV), Pressure
  1.284331E+00  8.395172E+19  6.889359E+19
  1.483659E+00  1.121891E+00  1.860076E+00
  1.770871E+00  1.071296E+01  2.202728E+05
  1.294331E+00  8.286987E+19  6.783182E+19
  1.446731E+00  1.160766E+00  1.854834E+00
  1.758050E+00  9.954592E+00  2.019657E+05
  1.304331E+00  8.174245E+19  6.672604E+19
  1.409127E+00  1.199598E+00  1.850587E+00
  1.743949E+00  9.204474E+00  1.846267E+05
  1.314331E+00  8.054402E+19  6.555629E+19
  1.371059E+00  1.238119E+00  1.847361E+00
  1.730413E+00  8.467752E+00  1.682502E+05
  1.324331E+00  7.923354E+19  6.428948E+19
  1.332717E+00  1.275993E+00  1.845072E+00
  1.719389E+00  7.750085E+00  1.528101E+05
  1.334331E+00  7.774576E+19  6.287207E+19
  1.294373E+00  1.312812E+00  1.843604E+00
  1.712815E+00  7.057585E+00  1.382525E+05
  1.344331E+00  7.597841E+19  6.121908E+19
  1.256517E+00  1.348053E+00  1.842847E+00
  1.714774E+00  6.396635E+00  1.244828E+05
  1.354331E+00  7.377412E+19  5.919866E+19
  1.219627E+00  1.381189E+00  1.842600E+00
  1.727348E+00  5.773486E+00  1.113460E+05
  1.364331E+00  7.089644E+19  5.661156E+19
  1.184240E+00  1.411823E+00  1.842734E+00
  1.753923E+00  5.193126E+00  9.859188E+04
  1.374331E+00  6.700380E+19  5.316898E+19
  1.151161E+00  1.439696E+00  1.843338E+00
  1.801127E+00  4.656821E+00  8.582373E+04
  1.384331E+00  6.163333E+19  4.847934E+19
  1.121039E+00  1.464817E+00  1.844564E+00
  1.875581E+00  4.156416E+00  7.243227E+04
  1.394331E+00  5.422019E+19  4.206873E+19
  1.094071E+00  1.487628E+00  1.846626E+00
  1.982919E+00  3.661424E+00  5.756225E+04
  1.404331E+00  4.418090E+19  3.347700E+19
  1.071177E+00  1.508857E+00  1.850424E+00
  2.144208E+00  3.093974E+00  4.034903E+04
  1.414331E+00  3.098809E+19  2.247093E+19
  1.051668E+00  1.528585E+00  1.855418E+00
  2.370677E+00  2.303299E+00  2.114876E+04
  1.424331E+00  1.380849E+19  9.353725E+18
  1.035326E+00  1.544299E+00  1.859236E+00
  2.705002E+00  1.134476E+00  4.571642E+03
